Date,Province/State,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-10,United Kingdom,382.0,6.0,18.0,382.0,6.0,18.0,2503.0,0.027,0.286,0.264,0.348,600.0,1080.0,2100.0,435.0
2020-03-11,Channel Islands,2.0,,,2.0,,,,,,,,,,,2.0
2020-03-11,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-11,United Kingdom,456.0,8.0,18.0,456.0,8.0,18.0,,,,,,800.0,1440.0,2800.0,520.0
2020-03-12,Channel Islands,2.0,,,2.0,,,,,,,,,,,2.0
2020-03-12,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-12,United Kingdom,456.0,8.0,18.0,456.0,8.0,18.0,,,,,,800.0,1440.0,2800.0,520.0
2020-03-13,Cayman Islands,1.0,,,1.0,,,,,,,,,,,1.0
2020-03-13,Channel Islands,2.0,,,2.0,,,,,,,,,,,2.0
2020-03-13,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-13,United Kingdom,798.0,8.0,18.0,798.0,8.0,18.0,,,,,,800.0,1440.0,2800.0,910.0
2020-03-14,Cayman Islands,1.0,,,1.0,,,,,,,,,,,1.0
2020-03-14,Channel Islands,2.0,,,2.0,,,,,,,,,,,2.0
2020-03-14,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-14,United Kingdom,1140.0,21.0,18.0,1140.0,21.0,18.0,,,,,,2100.0,3780.0,7350.0,1300.0
2020-03-15,Cayman Islands,1.0,,,1.0,,,,,,,,,,,1.0
2020-03-15,Channel Islands,3.0,,,3.0,,,,,,,,,,,3.0
2020-03-15,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-15,United Kingdom,1140.0,21.0,18.0,1140.0,21.0,18.0,,,,,,2100.0,3780.0,7350.0,1300.0
2020-03-16,Cayman Islands,1.0,1.0,,1.0,1.0,,,,,,,100.0,180.0,350.0,1.0
2020-03-16,Channel Islands,6.0,,,6.0,,,,,,,,,,,7.0
2020-03-16,Gibraltar,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0
2020-03-16,United Kingdom,1543.0,55.0,20.0,1543.0,55.0,20.0,,,,,,5500.0,9900.0,19250.0,1759.0
2020-03-17,Cayman Islands,1.0,1.0,,1.0,1.0,,,,,,,100.0,180.0,350.0,1.0
2020-03-17,Channel Islands,6.0,,,6.0,,,,,,,,,,,7.0
2020-03-17,Gibraltar,3.0,,1.0,3.0,,1.0,,,,,,,,,3.0
2020-03-17,United Kingdom,1950.0,55.0,52.0,1950.0,55.0,52.0,,,,,,5500.0,9900.0,19250.0,2223.0
2020-03-18,Cayman Islands,1.0,1.0,,1.0,1.0,,,,,,,100.0,180.0,350.0,1.0
2020-03-18,Channel Islands,6.0,,,6.0,,,,,,,,,,,7.0
2020-03-18,Gibraltar,8.0,,2.0,8.0,,2.0,,,,,,,,,9.0
2020-03-18,Montserrat,1.0,,,1.0,,,,,,,,,,,1.0
2020-03-18,United Kingdom,2626.0,71.0,65.0,2626.0,71.0,65.0,,,,,,7100.0,12780.0,24850.0,2994.0
