State: North Carolina
Profession: Physician Assistant
Specialty/PAOP: Physician Assistant
Variable: rate per 10k
"Notes: Data include active, licensed physician assistants in practice in North Carolina as of October 31 of each year. Physician"
" assistant data are derived from the North Carolina Medical Board. County estimates are based on primary practice location."
" Population census data and estimates are downloaded from the North Carolina Office of State Budget and Management via NC"
" LINC and are based on US Census data. Source: North Carolina Health Professions Data System, Program on Health Workforce"
" Research and Policy, Cecil G. Sheps Center for Health Services Research, University of North Carolina at Chapel Hill. Created"
" March 25, 2020 at https://nchealthworkforce.unc.edu/supply/."
county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gates,0.95,0,1.89,1.86,1.84,0.9,0,0.85,0,0,0,0,0,0,0.84,0.85,0,0,0
Graham,1.25,3.73,3.7,2.44,3.69,3.7,3.7,3.68,2.47,1.2,1.13,1.12,1.13,1.13,1.13,1.14,1.13,1.13,1.13
Granville,1.86,2.01,1.97,1.94,2.44,2.96,3.53,3.23,2.84,3.48,3.99,4.11,4.05,3.28,4.13,3.93,5.05,4.5,5.45
Greene,1.05,1.05,0.51,1.51,1.97,1.97,2.4,2.84,2.83,2.34,2.34,0.93,1.4,0.95,1.41,1.42,0.93,2.32,2.32
Guilford,3.14,3.28,3.68,3.95,3.81,3.81,4.3,4.36,4.57,4.66,4.67,4.58,4.66,4.89,5.06,5.47,6.02,5.9,6.37
Halifax,1.74,1.58,1.4,1.74,1.76,1.6,1.8,2.35,1.99,1.99,2.01,2.21,2.4,1.49,2.44,3.05,3.26,3.28,3.5
Harnett,2.31,2.46,2.18,2.43,2.69,2.26,2.7,2.63,2.1,2.75,3.37,3.63,3.88,3.97,3.98,3.7,3.88,4.66,4.88
Haywood,1.11,1.65,2.17,2.33,1.95,1.93,2.29,2.28,2.28,2.93,3.38,3.35,3.37,2.51,2.67,2.8,2.91,2.73,2.87
Henderson,1.79,1.97,2.35,2.2,2.18,2.35,2.6,2.94,2.89,3.71,3.83,3.87,3.97,4.21,4.69,4.18,4.98,5.25,5.85
Hertford,3.1,3.61,4.5,4.49,5.46,4.61,3.77,3.37,3.38,2.92,3.64,4.5,3.68,3.25,3.66,4.5,3.74,4.59,5.87
Hoke,2.38,2.01,2.49,2.14,1.83,2.26,2.37,2.56,2.7,2.38,2.75,2.65,3.2,2.57,1.77,1.74,2.3,3.94,3.29
Hyde,6.87,3.49,3.46,0,0,0,0,0,0,0,0,0,0,1.72,1.74,1.78,1.78,1.77,1.78
Iredell,1.47,1.8,1.91,1.94,2.05,2.3,2.89,3.19,3.24,2.67,3.12,3.41,3.43,3.94,3.95,4.05,4.56,4.59,5.34
Jackson,2.11,2.38,2.05,2.3,2.25,2.21,2.48,2.72,2.7,3.16,3.71,3.2,3.43,4.17,3.9,3.61,4.23,3.02,2.98
Johnston,1.15,1.49,1.59,1.46,1.71,1.85,1.65,1.97,1.72,1.66,1.82,2.26,2.57,2.76,3.33,3.79,4.22,3.8,4.45
Jones,1.93,1.94,1.93,1.91,1.95,0.98,0,0,0,0.98,1.97,0.97,0.94,0.95,0.96,0,0,0,0.97
Lee,3.26,3.05,2.99,3.13,2.77,2.57,3.44,3.9,3.83,3.07,3.1,3.43,3.55,3.37,4.39,4.75,5.06,5.73,6.56
Lenoir,1.51,1.69,1.34,1.17,1.35,1.71,1.55,1.91,2.43,2.62,2.86,3.2,3.37,3.22,3.23,3.43,3.3,3.48,2.96
Lincoln,0.47,0.46,0.3,0.44,0.58,0.58,0.56,0.82,0.8,1.19,1.27,1.27,1.39,1.63,1.37,1.72,2.32,2.76,2.84
Macon,1.68,1.64,2.58,2.53,2.5,1.55,1.51,1.95,1.46,0.87,1.18,1.16,1.47,1.46,1.45,1.73,1.71,3.39,2.52
Madison,0.51,0.51,0.5,0.49,0.5,0.49,0.49,0.84,0.96,2.4,2.4,1.89,1.89,1.4,1.39,0.92,1.36,1.35,1.33
Martin,1.95,1.58,1.57,1.57,1.2,0.81,0.82,0.68,1.26,1.26,1.22,1.25,1.25,1.68,1.27,1.68,2.12,2.13,2.56
McDowell,2.85,3.03,2.99,3.4,3.44,2.75,2.75,2.97,2.47,2.01,1.78,2.64,2.65,3.32,3.53,5.07,5.27,5.47,5.44
Mecklenburg,2.29,2.44,2.68,2.77,2.86,3.14,3.27,3.5,3.72,3.92,3.95,4.08,4.45,5.25,5.86,6.27,6.86,7.63,8.06
Mitchell,1.27,0,0,0,0,0,0.63,0.63,0,0,1.28,1.94,1.95,4.54,3.79,5.87,6.55,6.56,7.89
Montgomery,2.98,2.23,2.93,2.52,2.89,1.83,2.18,2.54,1.81,2.86,2.16,2.51,2.87,3.24,2.52,3.23,3.24,3.23,3.22
Moore,3.08,3.54,3.21,3.53,3.75,4.47,4.98,4.53,5.28,5.06,5.31,5.71,5.73,8.05,8.92,8.15,8.95,10.96,11.5
Nash,2.17,2.72,2.91,3.1,3.2,3.17,3.25,3.23,3.62,4.28,4.16,4.16,4.61,4.12,4.34,4.56,4.98,5.19,5.51
New Hanover,3.24,3.66,4.42,5.08,5.38,6.3,5.97,7.32,7.54,7.93,7.67,8.08,8.05,8.7,9.03,9.54,10.29,10.43,10.74
Northampton,1.36,0.91,0.9,0.9,0.92,0.93,0.46,0.94,0.95,0.95,1.36,0.92,0.93,0.94,1.41,1.42,0.48,0.48,0.98
Onslow,1,1.01,1.54,1.93,1.75,1.67,1.92,1.89,2.05,2.34,2.36,2.66,2.67,1.7,2.59,3.39,3.97,4.14,4
Orange,2.96,2.73,3.09,3.19,3.41,3.76,3.56,4,4.64,4.99,5.14,4.79,5.05,5.23,5.43,5.85,6.6,7.38,8.62
Pamlico,1.55,1.56,1.54,1.52,1.53,0.76,0,1.54,1.55,2.34,2.28,1.51,2.27,3.06,2.28,3.04,2.25,1.51,2.26
Pasquotank,1.43,2.28,3.68,2.8,3.54,3.41,3.75,3.67,3.89,4.32,4.18,4.7,5.01,5.83,5.29,7.8,7.2,7.14,8.33
Pender,0.97,0.95,1.15,0.9,0.89,0.65,0.82,0.99,0.77,0.94,1.14,1.31,1.84,1.26,1.24,1.21,1.01,1.31,1.44
Perquimans,0.88,1.73,0.86,0.86,0.85,1.68,1.6,1.57,1.55,1.54,1.48,1.48,1.46,2.18,2.93,2.93,2.95,2.95,2.21
Person,0.56,0.83,0.82,1.34,2.13,2.14,2.14,2.13,2.93,3.14,2.78,2.27,2.55,2.04,2.29,2.27,2.27,3.26,3.5
Pitt,3.89,3.93,4.23,4.73,5.03,5.65,5.87,5.99,6.11,6.43,6.79,7.05,7.24,7.19,7.57,7.29,7.11,7.37,7.8
Polk,1.09,0.53,0.52,0.51,0.52,2.09,2.62,2.63,2.63,2.07,1.46,2.93,2.96,2.43,3.38,2.88,3.8,3.78,4.23
Randolph,0.46,0.53,0.74,0.8,0.8,0.87,0.72,0.86,0.85,0.98,1.69,1.89,1.96,2.03,2.52,2.24,2.57,2.28,2.68
Richmond,1.29,1.93,1.93,1.28,1.29,1.08,1.71,1.93,1.92,1.92,1.72,1.51,1.51,1.52,1.54,2.43,1.78,1.56,1.56
Robeson,3.16,3.06,3.01,3.67,3.3,3.53,3.64,3.71,3.91,4.04,4.16,4.23,4.24,4.55,4.27,4.2,4.75,4.32,5.18
Rockingham,1.41,1.53,1.41,1.29,1.72,1.95,1.52,1.85,1.74,1.96,2.03,2.67,2.58,2.38,2.38,2.39,2.18,2.4,2.62
Rowan,1,1.37,1.79,1.98,2,2.68,3.05,2.93,3.32,3.34,3.17,3.18,3.18,2.6,4.25,5.28,5.6,5.85,5.74
Rutherford,1.59,1.42,1.56,1.4,1.25,1.26,2.06,1.59,1.73,1.57,1.47,1.46,1.91,2.51,2.51,3.55,3.84,3.84,3.68
Sampson,1.83,1.48,1.6,1.72,2.36,1.89,1.87,1.55,1.22,2.14,2.52,2.04,2.03,1.87,2.02,2.03,2.05,1.9,1.91
Scotland,2.22,2.52,2.5,3.03,3.64,4.05,4.33,4.07,4.59,4.6,5.26,4.72,4.95,5.25,6.1,5.3,6.71,6.73,7.02
Stanly,1.2,1.19,1.51,2.17,2.18,1.52,1.01,0.51,0.84,1.5,1.15,1.48,1.65,1.48,1.47,2.12,2.11,2.24,2.38
Stokes,0.89,1.1,0.65,0.86,1.08,0.65,0.43,0.22,0.64,0.85,0.84,0.84,1.06,1.71,2.14,1.92,1.71,1.71,1.93
Surry,2.11,2.38,2.49,2.18,2.2,2.34,2.6,2.73,2.73,4.2,3.93,3.94,3.93,3.95,4.2,4.37,4.8,4.67,4.26
Swain,2.31,3.79,4.49,5.91,5.89,7.35,7.89,5.76,7.15,7.22,7.13,9.11,11.04,8.91,10.79,11.37,10.1,12,11.89
Transylvania,1.7,1.02,1.01,1.66,1.68,1.01,0.66,0.98,0.97,1.29,1.81,1.5,1.51,3.01,3.29,3.26,2.64,2.9,2.87
Tyrrell,2.41,0,2.39,2.37,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,1.46,1.36,1.47,1.79,1.48,1.08,1.34,1.04,0.99,1.32,1.28,1.7,1.88,1.75,1.99,2.09,2.5,2.63,2.67
Vance,2.56,2.52,2.49,2.92,2.71,3.18,2.96,3.9,4.14,5.27,4.62,5.27,5.49,4.88,6.43,5.54,4.89,5.13,5.81
Wake,2.31,2.38,2.44,2.39,2.56,2.81,3.06,3.33,3.54,3.79,4.09,4.13,4.28,4.86,5.18,5.63,6.03,6.69,7.12
Warren,1.5,1.5,1.48,0.97,0.99,0,0,0,0.5,0.5,0.48,0.96,1.45,0.98,1.46,1.47,1.49,0.99,1
Washington,0.73,0.74,0.74,2.22,2.23,2.23,2.99,1.51,3.79,4.61,5.29,4.59,4.68,1.56,3.94,1.59,3.22,0.81,1.63
Watauga,0.7,1.17,0.7,0.92,1.39,1.63,1.61,1.57,1.77,2.42,2.53,3.07,3.05,3.8,4.53,4.47,5.82,5.34,5.58
Wayne,1.24,1.77,1.84,2.26,2.18,2.51,2.52,2.69,2.85,3.17,3.17,3.48,3.44,3.76,4.14,4.4,4.49,4.48,5.1
Wilkes,2.44,2.42,2.25,2.52,2.67,2.23,2.39,2.23,2.08,1.78,1.73,2.16,1.86,2.15,1.86,2.3,2.57,2.55,3.24
Wilson,1.22,1.08,1.06,1.58,1.7,1.56,2.07,2.31,2.66,3.25,3.55,3.81,3.55,4.3,4.18,4.16,4.77,4.51,4.61
Yadkin,0.83,1.09,1.07,0.79,1.07,1.34,1.06,1.06,1.05,1.05,0.78,0.78,1.05,0.52,0.53,0.8,1.06,0.53,0.53
Yancey,1.69,1.11,1.1,0,0.55,0.55,0.54,0.54,1.61,1.08,1.69,1.66,2.24,1.12,1.68,1.67,1.65,2.2,2.74
