,,,,,
"Name","State","2020 Population ","2020 Density","Latitude/Longitude","Estimated Unreported Cases"
"Spokane","Washington","227,545","1,278/km²","47.67/-117.43",
"Tacoma","Washington","225,745","1,753/km²","47.25/-122.46",
"Baton Rouge","Louisiana","225,295","1,012/km²","30.44/-91.13",
"Fontana","California","220,753","1,981/km²","34.11/-117.46",
"Modesto","California","220,523","1,982/km²","37.64/-121.00",
"San Bernardino","California","218,995","1,375/km²","34.14/-117.29",
"Des Moines","Iowa","218,104","952/km²","41.57/-93.61",
"Moreno Valley","California","213,743","1,610/km²","33.92/-117.21",
"Oxnard","California","213,266","3,041/km²","34.20/-119.20",
"Mckinney","Texas","210,726","1,216/km²","33.20/-96.66",
"Birmingham","Alabama","210,613","557/km²","33.53/-86.80",
"Fayetteville","North Carolina","209,419","547/km²","35.08/-78.97",
"Port St. Lucie","Florida","208,648","677/km²","27.28/-80.39",
"Rochester","New York","205,464","2,218/km²","43.17/-77.62",
"Amarillo","Texas","204,526","779/km²","35.20/-101.83",
"Grand Prairie","Texas","204,038","1,090/km²","32.69/-97.02",
"Salt Lake City","Utah","202,968","705/km²","40.78/-111.93",
"Yonkers","New York","202,567","4,342/km²","40.95/-73.87",
"Frisco","Texas","201,960","1,151/km²","33.16/-96.82",
"Grand Rapids","Michigan","201,849","1,754/km²","42.96/-85.66",
"Huntsville","Alabama","201,623","365/km²","34.70/-86.67",
"Tempe","Arizona","200,678","1,938/km²","33.39/-111.93",
"Overland Park","Kansas","200,626","1,031/km²","38.89/-94.69",
"Little Rock","Arkansas","199,925","650/km²","34.73/-92.36",
"Cape Coral","Florida","199,492","729/km²","26.64/-82.00",
"Huntington Beach","California","199,076","2,853/km²","33.69/-118.01",
"Augusta","Georgia","198,185","253/km²","33.37/-82.07",
"Montgomery","Alabama","196,442","475/km²","32.35/-86.27",
"Tallahassee","Florida","195,262","750/km²","30.46/-84.25",
"Akron","Ohio","195,189","1,215/km²","41.08/-81.52",
"Mobile","Alabama","190,948","529/km²","30.67/-88.10",
"Knoxville","Tennessee","190,411","745/km²","35.97/-83.95",
"Brownsville","Texas","188,183","549/km²","26.00/-97.46",
"Shreveport","Louisiana","185,968","670/km²","32.47/-93.79",
"Sioux Falls","South Dakota","185,312","928/km²","43.54/-96.73",
"Worcester","Massachusetts","184,576","1,908/km²","42.27/-71.81",
"Santa Clarita","California","184,572","1,082/km²","34.41/-118.49",
"Vancouver","Washington","184,278","1,515/km²","45.63/-122.60",
"Rancho Cucamonga","California","183,586","1,772/km²","34.12/-117.56",
"Elk Grove","California","183,199","1,680/km²","38.41/-121.38",
"Fort Lauderdale","Florida","183,076","2,043/km²","26.14/-80.15",
"Ontario","California","183,040","1,415/km²","34.04/-117.60",
"Chattanooga","Tennessee","182,975","494/km²","35.07/-85.25",
"Newport News","Virginia","181,185","1,013/km²","37.08/-76.52",
"Salem","Oregon","180,219","1,433/km²","44.92/-123.02",
"Providence","Rhode Island","180,087","3,779/km²","41.82/-71.42",
"Corona","California","179,289","1,754/km²","33.86/-117.57",
