index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
1919,China,1,639.0,18.0,30.0,591.0,609.0,0.028169014084507043,0.046948356807511735,18.0,30.0,609.0,20.75,inf
1581,Cambodia,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-18.0,-30.0,-638.0,-2.0476190476190474,-2.0
9067,Turkey,1,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,-1.006269592476489,-1.0
9617,West Bank and Gaza,1,91.0,1.0,17.0,73.0,74.0,0.01098901098901099,0.18681318681318682,1.0,17.0,90.0,-5.090909090909091,inf
2619,Djibouti,1,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0,-17.0,-88.0,-1.9777777777777779,-2.0
1816,Chad,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-0.9772727272727273,-1.0
4948,"Korea, South",1,8961.0,111.0,3166.0,5684.0,5795.0,0.012387010378305993,0.3533087825019529,111.0,3166.0,8957.0,4477.5,inf
7283,Qatar,1,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-111.0,-3166.0,-8955.0,-1.999776710952328,-2.0
4995,Kosovo,1,71.0,1.0,0.0,70.0,71.0,0.014084507042253521,0.0,1.0,0.0,65.0,-1.0072585147962032,-1.009009009009009
7049,Peru,1,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0,0.0,-65.0,-2.0,-2.0
6948,Papua New Guinea,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0,-0.9230769230769231,-1.0
6891,Panama,1,8.0,1.0,0.0,7.0,8.0,0.125,0.0,1.0,0.0,7.0,-2.166666666666667,inf
5421,Lithuania,1,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0,0.0,-2.0,-1.2857142857142856,-2.0
5528,MS Zaandam,1,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-4.0,1.0,-1.0
4337,Iran,1,5.0,2.0,0.0,3.0,5.0,0.4,0.0,2.0,0.0,3.0,inf,inf
7489,Saint Kitts and Nevis,1,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-2.0,0.0,-3.0,-2.0,-2.0
2711,Dominican Republic,1,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,-1.6666666666666665,-1.0
8398,Sudan,1,4.0,4.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,-1.0,inf
2881,El Salvador,1,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-4.0,0.0,-1.0,-inf,-2.0
2977,Eritrea,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,1.0,-1.0
3344,Gabon,1,7.0,2.0,0.0,5.0,7.0,0.2857142857142857,0.0,2.0,0.0,5.0,-2.666666666666667,inf
8111,Somalia,1,4.0,0.0,0.0,4.0,4.0,0.0,0.0,-2.0,0.0,-3.0,-1.6,-2.0
8448,Suriname,1,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,-2.333333333333333,-1.0
3393,Gambia,1,2.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,-6.0,-2.5,inf
8052,Slovenia,1,14.0,0.0,0.0,14.0,14.0,0.0,0.0,-1.0,0.0,12.0,-3.0,-2.0
