Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Hebei,China,2020-05-03 16:32:33,39.549,116.1306,328,6,318,4.0,,0.4340921122286924,,,1.8292682926829267,15610,CHN,,
Heilongjiang,China,2020-05-03 16:32:33,47.862,127.7615,944,13,604,327.0,,2.5019878081102567,,,1.3771186440677967,15611,CHN,,
Henan,China,2020-05-03 16:32:33,33.882,113.614,1276,22,1254,0.0,,1.3284747527329517,,,1.7241379310344829,15612,CHN,,
Hong Kong,China,2020-05-03 16:32:33,22.3,114.2,1039,4,864,171.0,,13.85889906719872,,,0.3849855630413859,344,HKG,,
Hubei,China,2020-05-03 16:32:33,30.9756,112.2707,68128,4512,63616,0.0,,115.13942876457665,,,6.622827618600283,15613,CHN,,
Hunan,China,2020-05-03 16:32:33,27.6104,111.7088,1019,4,1015,0.0,,1.4770256558921582,,,0.3925417075564279,15614,CHN,,
Inner Mongolia,China,2020-05-03 16:32:33,44.0935,113.9448,201,1,154,46.0,,0.7932123125493291,,,0.4975124378109453,15615,CHN,,
Isle of Man,United Kingdom,2020-05-03 16:32:33,54.2361,-4.5481,321,22,271,28.0,,377.50493931696303,,,6.853582554517133,833,IMN,,
Jiangsu,China,2020-05-03 16:32:33,32.9711,119.455,653,0,650,3.0,,0.8110793690224817,,,0.0,15616,CHN,,
Jiangxi,China,2020-05-03 16:32:33,27.614,115.7221,937,1,936,0.0,,2.01592082616179,,,0.10672358591248668,15617,CHN,,
Jilin,China,2020-05-03 16:32:33,43.6661,126.1923,112,1,102,9.0,,0.4142011834319527,,,0.8928571428571429,15618,CHN,,
Liaoning,China,2020-05-03 16:32:33,41.2956,122.6085,146,2,144,0.0,,0.3349392062399633,,,1.3698630136986298,15619,CHN,,
Macau,China,2020-05-03 16:32:33,22.1667,113.55,45,0,37,8.0,,6.930092308829553,,,0.0,446,MAC,,
Manitoba,Canada,2020-05-03 16:32:33,53.7609,-98.8139,282,6,0,276.0,,20.471616684222408,,,2.127659574468085,12403,CAN,,
Martinique,France,2020-05-03 16:32:33,14.6415,-61.0242,179,14,83,82.0,,47.69962559791082,,,7.82122905027933,474,MTQ,,
Mayotte,France,2020-05-03 16:32:33,-12.8275,45.166244,539,4,235,300.0,,197.5712301100021,,,0.7421150278293135,175,MYT,,
Montserrat,United Kingdom,2020-05-03 16:32:33,16.742498,-62.187366000000004,11,1,7,3.0,,220.0440088017604,,,9.090909090909092,500,MSR,,
New Brunswick,Canada,2020-05-03 16:32:33,46.5653,-66.4619,118,0,0,118.0,,15.12834089536701,,,0.0,12404,CAN,,
New Caledonia,France,2020-05-03 16:32:33,-20.904304999999997,165.618042,18,0,17,1.0,,6.3049273006854865,,,0.0,540,NCL,,
New South Wales,Australia,2020-05-03 16:32:33,-33.8688,151.2093,3035,42,2306,687.0,,37.38605567873861,,,1.3838550247116972,3602,AUS,,
Newfoundland and Labrador,Canada,2020-05-03 16:32:33,53.1355,-57.6604,259,3,0,256.0,,49.677289422957045,,,1.1583011583011582,12405,CAN,,
Ningxia,China,2020-05-03 16:32:33,37.2692,106.1655,75,0,75,0.0,,1.0901162790697674,,,0.0,15620,CHN,,
Northern Territory,Australia,2020-05-03 16:32:33,-12.4634,130.8456,29,0,24,5.0,,11.807817589576548,,,0.0,3603,AUS,,
Northwest Territories,Canada,2020-05-03 16:32:33,64.8255,-124.8457,5,0,0,5.0,,11.134865490824868,,,0.0,12406,CAN,,
Nova Scotia,Canada,2020-05-03 16:32:33,44.681999999999995,-63.7443,963,31,0,932.0,,98.5209579551837,,,3.219106957424714,12407,CAN,,
