Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Bosnia and Herzegovina,2020-05-15 14:32:16,43.9159,17.6791,2236.0,128.0,1336.0,772.0,68.15379715101278,,,5.7245080500894465,70,BIH
Botswana,2020-05-15 14:32:16,-22.3285,24.6849,24.0,1.0,17.0,6.0,1.0205708818370276,,,4.166666666666667,72,BWA
Brazil,2020-05-15 14:32:16,-14.235,-51.9253,206507.0,14131.0,79479.0,112897.0,97.15260358105343,,,6.8428673120039525,76,BRA
Brunei,2020-05-15 14:32:16,4.5353,114.7277,141.0,1.0,134.0,6.0,32.229823787438605,,,0.7092198581560284,96,BRN
Bulgaria,2020-05-15 14:32:16,42.7339,25.4858,2138.0,102.0,545.0,1491.0,30.769474321233023,,,4.770813844714686,100,BGR
Burkina Faso,2020-05-15 14:32:16,12.2383,-1.5616,773.0,51.0,592.0,130.0,3.697984593612543,,,6.597671410090556,854,BFA
Burma,2020-05-15 14:32:16,21.9162,95.956,181.0,6.0,84.0,91.0,0.3326606970796471,,,3.3149171270718236,104,MMR
Burundi,2020-05-15 14:32:16,-3.3731,29.9189,15.0,1.0,7.0,7.0,0.126148147880278,,,6.666666666666668,108,BDI
Cabo Verde,2020-05-15 14:32:16,16.5388,-23.0418,315.0,2.0,67.0,246.0,56.65589904818089,,,0.6349206349206349,132,CPV
Cambodia,2020-05-15 14:32:16,11.55,104.9167,122.0,0.0,121.0,1.0,0.7297099803570447,,,0.0,116,KHM
Cameroon,2020-05-15 14:32:16,3.8480000000000003,11.5021,2954.0,139.0,1553.0,1262.0,11.127910547571554,,,4.705484089370345,120,CMR
Central African Republic,2020-05-15 14:32:16,6.6111,20.9394,143.0,0.0,10.0,133.0,2.9608071947200734,,,0.0,140,CAF
Chad,2020-05-15 14:32:16,15.4542,18.7322,399.0,46.0,83.0,270.0,2.429096706601463,,,11.528822055137846,148,TCD
Chile,2020-05-15 14:32:16,-35.6751,-71.543,37040.0,368.0,15655.0,21017.0,193.76226740354218,,,0.9935205183585312,152,CHL
Colombia,2020-05-15 14:32:16,4.5709,-74.2973,13610.0,525.0,3358.0,9727.0,26.747697713046296,,,3.857457751653196,170,COL
Comoros,2020-05-15 14:32:16,-11.6455,43.3333,11.0,1.0,3.0,7.0,1.2649566752338732,,,9.090909090909092,174,COM
Congo (Brazzaville),2020-05-15 14:32:16,-4.2634,15.2832,391.0,15.0,87.0,289.0,7.085782549475435,,,3.836317135549872,178,COG
Congo (Kinshasa),2020-05-15 14:32:16,-4.322447,15.307045,1298.0,50.0,212.0,1036.0,1.4492850067424132,,,3.852080123266564,180,COD
Costa Rica,2020-05-15 14:32:16,9.7489,-83.7534,830.0,8.0,535.0,287.0,16.293314205375065,,,0.9638554216867471,188,CRI
Cote d'Ivoire,2020-05-15 14:32:16,7.54,-5.5471,1971.0,24.0,930.0,1017.0,7.472057971948508,,,1.21765601217656,384,CIV
Croatia,2020-05-15 14:32:16,45.1,15.2,2222.0,95.0,1869.0,258.0,54.125577185216656,,,4.275427542754277,191,HRV
Cuba,2020-05-15 14:32:16,21.521757,-77.78116700000002,1830.0,79.0,1383.0,368.0,16.156634956106924,,,4.3169398907103815,192,CUB
Cyprus,2020-05-15 14:32:16,35.1264,33.4299,907.0,17.0,481.0,409.0,75.12251927965207,,,1.8743109151047408,196,CYP
Czechia,2020-05-15 14:32:16,49.8175,15.472999999999999,8352.0,293.0,5249.0,2810.0,77.99060639003783,,,3.5081417624521074,203,CZE
Diamond Princess,2020-05-15 14:32:16,,,712.0,13.0,651.0,48.0,,,,1.8258426966292132,9999,
Djibouti,2020-05-15 14:32:16,11.8251,42.5903,1284.0,3.0,905.0,376.0,129.9592510946334,,,0.2336448598130841,262,DJI
Dominica,2020-05-15 14:32:16,15.415,-61.371,16.0,0.0,15.0,1.0,22.22500034726563,,,0.0,212,DMA
Dominican Republic,2020-05-15 14:32:16,18.7357,-70.1627,11320.0,422.0,3351.0,7547.0,104.35195591701401,,,3.7279151943462896,214,DOM
Ecuador,2020-05-15 14:32:16,-1.8312,-78.1834,30502.0,2338.0,3433.0,24731.0,172.88384214529682,,,7.6650711428758775,218,ECU
Egypt,2020-05-15 14:32:16,26.820553000000004,30.802497999999996,10829.0,571.0,2626.0,7632.0,10.581974079625988,,,5.272878382122079,818,EGY
El Salvador,2020-05-15 14:32:16,13.7942,-88.8965,1210.0,23.0,416.0,771.0,18.654987719313663,,,1.900826446280992,222,SLV
Equatorial Guinea,2020-05-15 14:32:16,1.6508,10.2679,583.0,7.0,13.0,563.0,41.55425752948178,,,1.2006861063464838,226,GNQ
Eritrea,2020-05-15 14:32:16,15.1794,39.7823,39.0,0.0,38.0,1.0,1.099698372474606,,,0.0,232,ERI
Estonia,2020-05-15 14:32:16,58.5953,25.0136,1766.0,63.0,923.0,780.0,133.12838898818654,,,3.567383918459796,233,EST
Eswatini,2020-05-15 14:32:16,-26.5225,31.4659,187.0,2.0,51.0,134.0,16.118410845363243,,,1.0695187165775402,748,SWZ
Ethiopia,2020-05-15 14:32:16,9.145,40.4897,287.0,5.0,112.0,170.0,0.24964427213442014,,,1.7421602787456445,231,ETH
Fiji,2020-05-15 14:32:16,-17.7134,178.065,18.0,0.0,14.0,4.0,2.0079335686334003,,,0.0,242,FJI
Gabon,2020-05-15 14:32:16,-0.8037,11.6094,1104.0,10.0,182.0,912.0,49.60174828191046,,,0.9057971014492754,266,GAB
Gambia,2020-05-15 14:32:16,13.4432,-15.3101,23.0,1.0,10.0,12.0,0.9517251881105524,,,4.3478260869565215,270,GMB
Georgia,2020-05-15 14:32:16,42.3154,43.3569,671.0,12.0,393.0,266.0,16.82052053369431,,,1.7883755588673622,268,GEO
Ghana,2020-05-15 14:32:16,7.9465,-1.0232,5530.0,24.0,674.0,4832.0,17.796832582170758,,,0.433996383363472,288,GHA
Greece,2020-05-15 14:32:16,39.0742,21.8243,2770.0,156.0,1374.0,1240.0,26.5756991039864,,,5.631768953068592,300,GRC
Grenada,2020-05-15 14:32:16,12.1165,-61.678999999999995,21.0,0.0,14.0,7.0,18.663514606422027,,,0.0,308,GRD
Guatemala,2020-05-15 14:32:16,15.7835,-90.2308,1518.0,29.0,129.0,1360.0,8.473078189487389,,,1.9104084321475625,320,GTM
Guinea,2020-05-15 14:32:16,9.9456,-9.6966,2473.0,15.0,895.0,1563.0,18.83072540858029,,,0.606550748079256,324,GIN
Guinea-Bissau,2020-05-15 14:32:16,11.8037,-15.1804,913.0,3.0,26.0,884.0,46.39232356943453,,,0.32858707557502737,624,GNB
Guyana,2020-05-15 14:32:16,4.860416000000002,-58.93018000000001,113.0,10.0,42.0,61.0,14.366373024782627,,,8.849557522123892,328,GUY
Haiti,2020-05-15 14:32:16,18.9712,-72.2852,273.0,20.0,18.0,235.0,2.394204866585345,,,7.326007326007326,332,HTI
Holy See,2020-05-15 14:32:16,41.9029,12.4534,12.0,0.0,2.0,10.0,1483.3127317676144,,,0.0,336,VAT
Honduras,2020-05-15 14:32:16,15.2,-86.2419,2318.0,133.0,253.0,1932.0,23.403248265857673,,,5.737704918032787,340,HND
Hungary,2020-05-15 14:32:16,47.1625,19.5033,3417.0,442.0,1287.0,1688.0,35.371389235379674,,,12.935323383084578,348,HUN
India,2020-05-15 14:32:16,20.593684,78.96288,83072.0,2662.0,28792.0,51618.0,6.019691017141224,,,3.204449152542373,356,IND
Indonesia,2020-05-15 14:32:16,-0.7893,113.9213,16496.0,1076.0,3803.0,11617.0,6.03092337681505,,,6.522793404461688,360,IDN
Iran,2020-05-15 14:32:16,32.427908,53.68804599999999,116635.0,6902.0,91836.0,17897.0,138.86284007659546,,,5.917606207399151,364,IRN
Iraq,2020-05-15 14:32:16,33.223191,43.679291,3143.0,115.0,2028.0,1000.0,7.814033850653202,,,3.658924594336621,368,IRQ
Israel,2020-05-15 14:32:16,31.046051000000002,34.851612,16589.0,266.0,12587.0,3736.0,191.6575751879634,,,1.60347218036048,376,ISR
Jamaica,2020-05-15 14:32:16,18.1096,-77.2975,509.0,9.0,118.0,382.0,17.18920382917376,,,1.7681728880157166,388,JAM
Japan,2020-05-15 14:32:16,36.204824,138.252924,16120.0,697.0,9868.0,5555.0,12.74545496838629,,,4.3238213399503715,392,JPN
Jordan,2020-05-15 14:32:16,31.24,36.51,586.0,9.0,393.0,184.0,5.743329994491893,,,1.5358361774744027,400,JOR
Kazakhstan,2020-05-15 14:32:16,48.0196,66.9237,5689.0,34.0,2531.0,3124.0,30.29817741737143,,,0.5976445772543505,398,KAZ
Kenya,2020-05-15 14:32:16,-0.0236,37.9062,758.0,42.0,284.0,432.0,1.4096739338643478,,,5.540897097625329,404,KEN
"Korea, South",2020-05-15 14:32:16,35.90775700000001,127.766922,11018.0,260.0,9821.0,937.0,21.490492641554283,,,2.3597749137774553,410,KOR
Kosovo,2020-05-15 14:32:16,42.602636,20.902977,944.0,29.0,690.0,225.0,52.14415206648821,,,3.0720338983050848,383,XKS
Kuwait,2020-05-15 14:32:16,29.311659999999996,47.481766,12860.0,96.0,3640.0,9124.0,301.1312559959893,,,0.7465007776049767,414,KWT
Kyrgyzstan,2020-05-15 14:32:16,41.20438,74.766098,1111.0,14.0,745.0,352.0,17.02893124986684,,,1.26012601260126,417,KGZ
Laos,2020-05-15 14:32:16,19.856270000000002,102.495496,19.0,0.0,14.0,5.0,0.261148426319583,,,0.0,418,LAO
Latvia,2020-05-15 14:32:16,56.8796,24.6032,970.0,19.0,662.0,289.0,51.426093281631545,,,1.9587628865979383,428,LVA
Lebanon,2020-05-15 14:32:16,33.8547,35.8623,891.0,26.0,246.0,619.0,13.054099646586993,,,2.9180695847362514,422,LBN
Lesotho,2020-05-15 14:32:16,-29.609988,28.233608,1.0,0.0,0.0,1.0,0.046679849056040085,,,0.0,426,LSO
Liberia,2020-05-15 14:32:16,6.4280550000000005,-9.429499,215.0,20.0,105.0,90.0,4.250963436376028,,,9.30232558139535,430,LBR
Libya,2020-05-15 14:32:16,26.3351,17.228331,64.0,3.0,28.0,33.0,0.9314121211935988,,,4.6875,434,LBY
Liechtenstein,2020-05-15 14:32:16,47.14,9.55,82.0,1.0,55.0,26.0,215.0142905839473,,,1.2195121951219512,438,LIE
Lithuania,2020-05-15 14:32:16,55.1694,23.8813,1523.0,54.0,965.0,504.0,55.94552529468745,,,3.545633617859488,440,LTU
Luxembourg,2020-05-15 14:32:16,49.8153,6.1296,3915.0,103.0,3665.0,147.0,625.4233389139521,,,2.630906768837803,442,LUX
MS Zaandam,2020-05-15 14:32:16,,,9.0,2.0,0.0,7.0,,,,22.222222222222218,8888,
Madagascar,2020-05-15 14:32:16,-18.766947000000002,46.869107,230.0,0.0,108.0,122.0,0.8305942081799157,,,0.0,450,MDG
Malawi,2020-05-15 14:32:16,-13.254307999999998,34.301525,63.0,3.0,24.0,36.0,0.32932644117563264,,,4.761904761904762,454,MWI
Malaysia,2020-05-15 14:32:16,4.210483999999999,101.97576600000001,6855.0,112.0,5439.0,1304.0,21.17963425691369,,,1.6338439095550692,458,MYS
Maldives,2020-05-15 14:32:16,3.2028,73.2207,1020.0,4.0,45.0,971.0,188.6994905113756,,,0.392156862745098,462,MDV
Mali,2020-05-15 14:32:16,17.570692,-3.996166000000001,779.0,46.0,436.0,297.0,3.8467551509236606,,,5.905006418485238,466,MLI
Malta,2020-05-15 14:32:16,35.9375,14.3754,532.0,6.0,458.0,68.0,120.48765794188057,,,1.1278195488721805,470,MLT
Mauritania,2020-05-15 14:32:16,21.0079,-10.9408,26.0,2.0,7.0,17.0,0.5591806712748889,,,7.6923076923076925,478,MRT
Mauritius,2020-05-15 14:32:16,-20.348404000000002,57.552152,332.0,10.0,322.0,0.0,26.105410818176605,,,3.0120481927710845,480,MUS
Mexico,2020-05-15 14:32:16,23.6345,-102.5528,42595.0,4477.0,28475.0,9643.0,33.03660164613099,,,10.510623312595373,484,MEX
Moldova,2020-05-15 14:32:16,47.4116,28.3699,5553.0,194.0,2228.0,3131.0,137.65619565672765,,,3.4936070592472537,498,MDA
Monaco,2020-05-15 14:32:16,43.7333,7.4167,96.0,4.0,87.0,5.0,244.623381918255,,,4.166666666666667,492,MCO
Mongolia,2020-05-15 14:32:16,46.8625,103.8467,98.0,0.0,20.0,78.0,2.9893615333838475,,,0.0,496,MNG
