index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
1101,United Kingdom,1,2283.0,42.0,39.0,2202.0,2244.0,0.018396846254927726,0.017082785808147174,42.0,39.0,2282.0,-208.45454545454547,inf
706,Monaco,1,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-42.0,-39.0,-2281.0,-1.9995617879053462,-2.0
7,Albania,1,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,8.0,-1.0035072336694433,-1.0
1088,Ukraine,1,3.0,1.0,0.0,2.0,3.0,0.3333333333333333,0.0,1.0,-13.0,-10.0,-3.0,inf
1107,Venezuela,2,17.0,0.0,0.0,17.0,17.0,0.0,0.0,-1.0,0.0,14.0,-2.4,-2.0
1109,Vietnam,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-15.0,-2.071428571428571,-1.0
1089,Ukraine,2,6.0,2.0,0.0,4.0,6.0,0.3333333333333333,0.0,2.0,0.0,3.0,-2.5,inf
271,Denmark,2,8.0,0.0,0.0,8.0,8.0,0.0,0.0,-2.0,0.0,2.0,-0.33333333333333337,-2.0
1050,Turkey,2,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-1.0
1015,Taiwan*,2,53.0,1.0,20.0,32.0,33.0,0.018867924528301886,0.37735849056603776,1.0,20.0,50.0,-26.0,inf
626,Jordan,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-19.0,-52.0,-2.04,-2.0
891,Slovenia,2,32.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,-1.0,31.0,-1.5961538461538463,-1.0
496,Iran,2,18.0,4.0,0.0,14.0,18.0,0.2222222222222222,0.0,4.0,0.0,13.0,inf,inf
707,Monaco,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-4.0,0.0,-16.0,-2.230769230769231,-2.0
486,Indonesia,2,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,-1.25,-1.0
406,Guyana,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-65.0,-2.0317460317460316,inf
783,Panama,2,11.0,1.0,0.0,10.0,11.0,0.09090909090909091,0.0,0.0,0.0,10.0,-1.1538461538461537,-1.0
794,Peru,2,7.0,0.0,0.0,7.0,7.0,0.0,0.0,-1.0,0.0,-4.0,-1.4,-inf
401,Guatemala,2,6.0,1.0,0.0,5.0,6.0,0.16666666666666666,0.0,1.0,0.0,-1.0,-0.75,-2.0
397,Guadeloupe,2,6.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0
386,Greece,2,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,inf,-1.0
560,Italy,2,20.0,1.0,0.0,19.0,20.0,0.05,0.0,1.0,0.0,8.0,inf,inf
1,Afghanistan,2,5.0,0.0,0.0,5.0,5.0,0.0,0.0,-1.0,0.0,-15.0,-2.875,-2.0
88,Azerbaijan,2,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,7.0,-1.4666666666666668,-1.0
135,Bulgaria,2,37.0,3.0,0.0,34.0,37.0,0.08108108108108109,0.0,3.0,0.0,25.0,2.5714285714285716,inf
148,Cameroon,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-3.0,0.0,-35.0,-2.4,-2.0
153,Canada,2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
8,Albania,2,45.0,2.0,0.0,43.0,45.0,0.044444444444444446,0.0,2.0,0.0,-21.0,-1.328125,inf
47,Aruba,2,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-2.0,0.0,-42.0,1.0,-2.0
27,Andorra,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,-0.9523809523809523,-1.0
180,China,2,916.0,26.0,36.0,854.0,880.0,0.028384279475982533,0.039301310043668124,26.0,36.0,913.0,inf,inf
708,Monaco,3,4.0,0.0,0.0,4.0,4.0,0.0,0.0,-26.0,-36.0,-912.0,-1.9989047097480832,-2.0
704,Moldova,3,35.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,31.0,-1.0339912280701755,-1.0
712,Morocco,3,3.0,1.0,0.0,2.0,3.0,0.3333333333333333,0.0,1.0,0.0,-32.0,-2.032258064516129,inf
699,Mexico,3,10.0,0.0,0.0,10.0,10.0,0.0,0.0,-1.0,0.0,7.0,-1.21875,-2.0
9,Albania,3,23.0,1.0,0.0,22.0,23.0,0.043478260869565216,0.0,1.0,0.0,13.0,0.8571428571428572,-2.0
104,Bangladesh,3,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-1.0,0.0,-20.0,-2.5384615384615383,-2.0
