index,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
2,2,2372.0,51.0,391.0,1930.0,1981.0,0.021500843170320406,0.1648397976391231,-49.0,-1011.0,-3726.0,-3.48069241011984,-2.0888888888888886
3,3,4706.0,118.0,107.0,4481.0,4599.0,0.025074373140671482,0.022736931576710584,67.0,-284.0,2334.0,-1.6264090177133657,-2.36734693877551
4,4,6010.0,147.0,148.0,5715.0,5862.0,0.024459234608985025,0.024625623960066557,29.0,41.0,1304.0,-0.4413024850042845,-0.5671641791044777
5,5,8261.0,197.0,255.0,7809.0,8006.0,0.023846991889601744,0.030867933664205302,50.0,107.0,2251.0,0.7262269938650308,0.7241379310344827
6,6,9180.0,204.0,240.0,8736.0,8940.0,0.022222222222222223,0.026143790849673203,7.0,-15.0,919.0,-0.591737005775211,-0.86
7,7,9572.0,194.0,307.0,9071.0,9265.0,0.02026744671959883,0.032072712076890934,-10.0,67.0,392.0,-0.5734494015233951,-2.428571428571429
8,8,13591.0,248.0,316.0,13027.0,13275.0,0.018247369582812156,0.023250680597454196,54.0,9.0,4019.0,9.252551020408163,-6.4
9,9,15752.0,309.0,468.0,14975.0,15284.0,0.019616556627729813,0.029710512950736415,61.0,152.0,2161.0,-0.46230405573525757,0.12962962962962954
10,10,20162.0,394.0,608.0,19160.0,19554.0,0.019541712131732964,0.030155738518004165,85.0,140.0,4410.0,1.040721888014808,0.39344262295081966
11,11,26321.0,513.0,936.0,24872.0,25385.0,0.019490140952091485,0.035560958930131836,119.0,328.0,6159.0,0.39659863945578233,0.3999999999999999
12,12,31137.0,609.0,1277.0,29251.0,29860.0,0.01955872434723962,0.04101230047853036,96.0,341.0,4816.0,-0.21805487903880505,-0.19327731092436973
13,13,38378.0,748.0,1460.0,36170.0,36918.0,0.01949033300328313,0.038042628589295954,139.0,183.0,7241.0,0.503529900332226,0.44791666666666674
14,14,45220.0,878.0,2456.0,41886.0,42764.0,0.019416187527642636,0.05431225121627598,130.0,996.0,6842.0,-0.05510288634166549,-0.06474820143884896
15,15,51418.0,1010.0,2953.0,47455.0,48465.0,0.019642926601579215,0.057431249756894474,132.0,497.0,6198.0,-0.0941245249926922,0.01538461538461533
16,16,56681.0,1195.0,3899.0,51587.0,52782.0,0.02108290255994072,0.0687884829131455,185.0,946.0,5263.0,-0.15085511455308165,0.4015151515151516
17,17,65436.0,1375.0,5490.0,58571.0,59946.0,0.021012898098905802,0.08389877131854025,180.0,1591.0,8755.0,0.66349990499715,-0.027027027027026973
18,18,68499.0,1760.0,6636.0,60103.0,61863.0,0.025693805748989038,0.09687732667630185,385.0,1146.0,3063.0,-0.6501427755568246,1.1388888888888888
19,19,66353.0,1806.0,7396.0,57151.0,58957.0,0.0272180609768963,0.11146444019109912,46.0,760.0,-2146.0,-1.7006203068886712,-0.8805194805194805
20,20,74542.0,2260.0,8859.0,63423.0,65683.0,0.030318478173378766,0.11884575138847898,454.0,1463.0,8189.0,-4.815936626281454,8.869565217391305
21,21,117753.0,5212.0,15193.0,97348.0,102560.0,0.044262141941181964,0.12902431360559816,2952.0,6334.0,43211.0,4.276712663328856,5.502202643171806
22,22,126921.0,5405.0,14155.0,107361.0,112766.0,0.04258554533922676,0.11152606739625437,193.0,-1038.0,9168.0,-0.7878318020874314,-0.934620596205962
23,23,120826.0,4840.0,14883.0,101103.0,105943.0,0.0400576034959363,0.12317713075000414,-565.0,728.0,-6095.0,-1.6648123909249564,-3.9274611398963732
24,24,129356.0,5541.0,18100.0,105715.0,111256.0,0.042835276291783915,0.1399239308574786,701.0,3217.0,8530.0,-2.399507793273175,-2.24070796460177
25,25,124383.0,5628.0,19464.0,99291.0,104919.0,0.04524734087455681,0.15648440703311545,87.0,1364.0,-4973.0,-1.5830011723329425,-0.8758915834522112
26,26,92802.0,2905.0,18135.0,71762.0,74667.0,0.031303204672313095,0.19541604706795113,-2723.0,-1329.0,-31581.0,5.350492660365976,-32.298850574712645
27,27,102522.0,3340.0,19876.0,79306.0,82646.0,0.03257837342228985,0.19387058387468056,435.0,1741.0,9720.0,-1.3077799943003705,-1.1597502754315094
28,28,86532.0,2246.0,16268.0,68018.0,70264.0,0.02595571580455785,0.18799981509730504,-1094.0,-3608.0,-15990.0,-2.6450617283950617,-3.514942528735632
